category,month,net_inflow_cr
Large Cap,2022-01-01,3803
Flexi Cap,2022-01-01,3729
Mid Cap,2022-01-01,217
Small Cap,2022-01-01,2257
Hybrid,2022-01-01,2466
Large Cap,2022-02-01,1376
Flexi Cap,2022-02-01,2823
Mid Cap,2022-02-01,863
Small Cap,2022-02-01,1603
Hybrid,2022-02-01,2550
Large Cap,2022-03-01,991
Flexi Cap,2022-03-01,3902
Mid Cap,2022-03-01,3883
Small Cap,2022-03-01,2624
Hybrid,2022-03-01,3151
Large Cap,2022-04-01,3047
Flexi Cap,2022-04-01,700
Mid Cap,2022-04-01,880
Small Cap,2022-04-01,1488
Hybrid,2022-04-01,239
Large Cap,2022-05-01,1598
Flexi Cap,2022-05-01,3915
Mid Cap,2022-05-01,2145
Small Cap,2022-05-01,970
Hybrid,2022-05-01,2033
Large Cap,2022-06-01,424
Flexi Cap,2022-06-01,2636
Mid Cap,2022-06-01,3383
Small Cap,2022-06-01,2162
Hybrid,2022-06-01,2520
Large Cap,2022-07-01,750
Flexi Cap,2022-07-01,270
Mid Cap,2022-07-01,3721
Small Cap,2022-07-01,2483
Hybrid,2022-07-01,1407
Large Cap,2022-08-01,2284
Flexi Cap,2022-08-01,929
Mid Cap,2022-08-01,3980
Small Cap,2022-08-01,2335
Hybrid,2022-08-01,2617
Large Cap,2022-09-01,630
Flexi Cap,2022-09-01,816
Mid Cap,2022-09-01,2238
Small Cap,2022-09-01,2760
Hybrid,2022-09-01,3478
Large Cap,2022-10-01,3269
Flexi Cap,2022-10-01,1474
Mid Cap,2022-10-01,2564
Small Cap,2022-10-01,1430
Hybrid,2022-10-01,395
Large Cap,2022-11-01,1799
Flexi Cap,2022-11-01,884
Mid Cap,2022-11-01,785
Small Cap,2022-11-01,1738
Hybrid,2022-11-01,2874
Large Cap,2022-12-01,2868
Flexi Cap,2022-12-01,3705
Mid Cap,2022-12-01,238
Small Cap,2022-12-01,2164
Hybrid,2022-12-01,1973
Large Cap,2023-01-01,3821
Flexi Cap,2023-01-01,1867
Mid Cap,2023-01-01,2689
