month,folio_cr
2022-01-01,13.55
2022-02-01,13.85
2022-03-01,14.03
2022-04-01,14.27
2022-05-01,14.65
2022-06-01,14.99
2022-07-01,15.23
2022-08-01,15.62
2022-09-01,15.81
2022-10-01,16.12
2022-11-01,16.48
2022-12-01,16.84
2023-01-01,17.15
2023-02-01,17.49
2023-03-01,17.72
2023-04-01,18.06
2023-05-01,18.38
2023-06-01,18.68
2023-07-01,18.92
2023-08-01,19.24
2023-09-01,19.42
2023-10-01,19.71
2023-11-01,20.02
2023-12-01,20.27
2024-01-01,20.58
2024-02-01,20.76
2024-03-01,21.01
2024-04-01,21.29
2024-05-01,21.65
2024-06-01,21.94
2024-07-01,22.32
2024-08-01,22.57
2024-09-01,22.94
2024-10-01,23.25
2024-11-01,23.52
2024-12-01,23.74
2025-01-01,24.09
2025-02-01,24.44
2025-03-01,24.7
2025-04-01,24.94
2025-05-01,25.18
2025-06-01,25.43
2025-07-01,25.62
2025-08-01,25.98
2025-09-01,26.12
2025-10-01,26.12
2025-11-01,26.12
2025-12-01,26.12
