amfi_code,scheme_name,fund_house,category,sub_category,risk_grade
FUND01,Scheme FUND01,Sample House,Equity,Large Cap,Moderately High
FUND02,Scheme FUND02,Sample House,Equity,Large Cap,Moderately High
FUND03,Scheme FUND03,Sample House,Equity,Large Cap,Moderately High
FUND04,Scheme FUND04,Sample House,Equity,Large Cap,Moderately High
FUND05,Scheme FUND05,Sample House,Equity,Large Cap,Moderately High
FUND06,Scheme FUND06,Sample House,Equity,Large Cap,Moderately High
FUND07,Scheme FUND07,Sample House,Equity,Large Cap,Moderately High
FUND08,Scheme FUND08,Sample House,Equity,Large Cap,Moderately High
FUND09,Scheme FUND09,Sample House,Equity,Large Cap,Moderately High
FUND10,Scheme FUND10,Sample House,Equity,Large Cap,Moderately High
FUND11,Scheme FUND11,Sample House,Equity,Large Cap,Moderately High
FUND12,Scheme FUND12,Sample House,Equity,Large Cap,Moderately High
FUND13,Scheme FUND13,Sample House,Equity,Large Cap,Moderately High
FUND14,Scheme FUND14,Sample House,Equity,Large Cap,Moderately High
FUND15,Scheme FUND15,Sample House,Equity,Large Cap,Moderately High
FUND16,Scheme FUND16,Sample House,Equity,Large Cap,Moderately High
FUND17,Scheme FUND17,Sample House,Equity,Large Cap,Moderately High
FUND18,Scheme FUND18,Sample House,Equity,Large Cap,Moderately High
FUND19,Scheme FUND19,Sample House,Equity,Large Cap,Moderately High
FUND20,Scheme FUND20,Sample House,Equity,Large Cap,Moderately High
FUND21,Scheme FUND21,Sample House,Equity,Large Cap,Moderately High
FUND22,Scheme FUND22,Sample House,Equity,Large Cap,Moderately High
FUND23,Scheme FUND23,Sample House,Equity,Large Cap,Moderately High
FUND24,Scheme FUND24,Sample House,Equity,Large Cap,Moderately High
FUND25,Scheme FUND25,Sample House,Equity,Large Cap,Moderately High
FUND26,Scheme FUND26,Sample House,Equity,Large Cap,Moderately High
FUND27,Scheme FUND27,Sample House,Equity,Large Cap,Moderately High
FUND28,Scheme FUND28,Sample House,Equity,Large Cap,Moderately High
FUND29,Scheme FUND29,Sample House,Equity,Large Cap,Moderately High
FUND30,Scheme FUND30,Sample House,Equity,Large Cap,Moderately High
FUND31,Scheme FUND31,Sample House,Equity,Large Cap,Moderately High
FUND32,Scheme FUND32,Sample House,Equity,Large Cap,Moderately High
FUND33,Scheme FUND33,Sample House,Equity,Large Cap,Moderately High
FUND34,Scheme FUND34,Sample House,Equity,Large Cap,Moderately High
FUND35,Scheme FUND35,Sample House,Equity,Large Cap,Moderately High
FUND36,Scheme FUND36,Sample House,Equity,Large Cap,Moderately High
FUND37,Scheme FUND37,Sample House,Equity,Large Cap,Moderately High
FUND38,Scheme FUND38,Sample House,Equity,Large Cap,Moderately High
NIFTY50,Scheme NIFTY50,Sample House,Equity,Large Cap,Moderately High
NIFTY100,Scheme NIFTY100,Sample House,Equity,Large Cap,Moderately High
