date,transaction_type,amount,kyc_status,state,city
2025-01-15,Lumpsum,5200,verified,Gujarat,Mumbai
2025-02-15,Redemption,7756,pending,Gujarat,Coimbatore
2025-03-15,SIP,16101,verified,West Bengal,Coimbatore
2025-04-15,Lumpsum,6202,verified,Maharashtra,Coimbatore
2025-05-15,Redemption,16433,pending,Delhi,Mumbai
2025-06-15,SIP,7270,pending,Karnataka,Coimbatore
2025-07-15,Lumpsum,15744,verified,Maharashtra,Mumbai
2025-08-15,Redemption,12367,pending,Delhi,Mumbai
2025-09-15,SIP,10077,pending,Gujarat,Mumbai
2025-10-15,Lumpsum,14298,pending,West Bengal,Mumbai
2025-11-15,Redemption,18714,pending,Tamil Nadu,Coimbatore
2025-12-15,SIP,21229,pending,Maharashtra,Mumbai
2025-01-15,Lumpsum,17536,pending,Gujarat,Mumbai
2025-02-15,Redemption,15276,pending,Tamil Nadu,Coimbatore
2025-03-15,SIP,17552,verified,Tamil Nadu,Coimbatore
2025-04-15,Lumpsum,4732,pending,Maharashtra,Mumbai
2025-05-15,Redemption,15871,verified,Maharashtra,Coimbatore
2025-06-15,SIP,4539,verified,Maharashtra,Coimbatore
2025-07-15,Lumpsum,17394,verified,Gujarat,Coimbatore
2025-08-15,Redemption,17920,pending,Karnataka,Coimbatore
2025-09-15,SIP,24367,pending,Gujarat,Coimbatore
2025-10-15,Lumpsum,22783,verified,West Bengal,Mumbai
2025-11-15,Redemption,12086,verified,West Bengal,Mumbai
2025-12-15,SIP,22556,pending,Maharashtra,Mumbai
2025-01-15,Lumpsum,11208,pending,Delhi,Coimbatore
2025-02-15,Redemption,4417,verified,Tamil Nadu,Mumbai
2025-03-15,SIP,10854,verified,West Bengal,Coimbatore
2025-04-15,Lumpsum,6129,pending,Tamil Nadu,Coimbatore
2025-05-15,Redemption,7790,pending,Delhi,Mumbai
2025-06-15,SIP,20881,verified,Gujarat,Mumbai
2025-07-15,Lumpsum,4645,pending,Gujarat,Coimbatore
2025-08-15,Redemption,16167,verified,Karnataka,Coimbatore
2025-09-15,SIP,5298,verified,Delhi,Coimbatore
2025-10-15,Lumpsum,21481,pending,Gujarat,Mumbai
2025-11-15,Redemption,3799,pending,Maharashtra,Mumbai
2025-12-15,SIP,12903,pending,Karnataka,Coimbatore
2025-01-15,Lumpsum,15399,verified,West Bengal,Coimbatore
