amfi_code,date,nav
FUND01,2023-01-02,34.7528
FUND01,2023-01-03,34.5297
FUND01,2023-01-04,34.6043
FUND01,2023-01-05,34.5818
FUND01,2023-01-06,34.5674
FUND01,2023-01-09,34.607
FUND01,2023-01-10,34.6655
FUND01,2023-01-11,34.8754
FUND01,2023-01-12,35.0038
FUND01,2023-01-13,35.0429
FUND01,2023-01-16,34.9427
FUND01,2023-01-17,34.7976
FUND01,2023-01-18,34.8587
FUND01,2023-01-19,35.0939
FUND01,2023-01-20,35.1219
FUND01,2023-01-23,35.1255
FUND01,2023-01-24,35.2342
FUND01,2023-01-25,35.0153
FUND01,2023-01-26,34.9851
FUND01,2023-01-27,35.0866
FUND01,2023-01-30,35.2514
FUND01,2023-01-31,35.2328
FUND01,2023-02-01,35.3162
FUND01,2023-02-02,35.3785
FUND01,2023-02-03,35.5296
FUND01,2023-02-06,35.3655
FUND01,2023-02-07,35.481
FUND01,2023-02-08,35.2505
FUND01,2023-02-09,34.8388
FUND01,2023-02-10,34.7606
FUND01,2023-02-13,34.6323
FUND01,2023-02-14,34.7954
FUND01,2023-02-15,34.9246
FUND01,2023-02-16,34.7461
FUND01,2023-02-17,34.905
FUND01,2023-02-20,34.762
FUND01,2023-02-21,34.7689
FUND01,2023-02-22,34.7419
FUND01,2023-02-23,34.7814
FUND01,2023-02-24,34.9358
FUND01,2023-02-27,35.0614
FUND01,2023-02-28,35.14
FUND01,2023-03-01,35.2682
FUND01,2023-03-02,35.3685
FUND01,2023-03-03,35.2859
FUND01,2023-03-06,35.1884
FUND01,2023-03-07,35.1321
FUND01,2023-03-08,35.2355
FUND01,2023-03-09,35.2154
FUND01,2023-03-10,35.6221
FUND01,2023-03-13,35.5067
FUND01,2023-03-14,35.3452
FUND01,2023-03-15,35.4938
FUND01,2023-03-16,35.7517
FUND01,2023-03-17,35.858
FUND01,2023-03-20,36.0201
FUND01,2023-03-21,36.2826
FUND01,2023-03-22,36.2884
FUND01,2023-03-23,36.0682
FUND01,2023-03-24,35.9999
FUND01,2023-03-27,36.1824
FUND01,2023-03-28,35.9593
FUND01,2023-03-29,35.9866
FUND01,2023-03-30,36.051
FUND01,2023-03-31,36.0193
FUND01,2023-04-03,36.1632
FUND01,2023-04-04,36.2834
FUND01,2023-04-05,36.7
FUND01,2023-04-06,36.8288
FUND01,2023-04-07,36.7457
FUND01,2023-04-10,36.6711
FUND01,2023-04-11,36.5502
FUND01,2023-04-12,36.7353
FUND01,2023-04-13,36.6598
FUND01,2023-04-14,36.6698
FUND01,2023-04-17,36.8207
FUND01,2023-04-18,36.718
FUND01,2023-04-19,36.6895
FUND01,2023-04-20,36.3949
FUND01,2023-04-21,36.2321
FUND01,2023-04-24,36.1575
FUND01,2023-04-25,36.2497
FUND01,2023-04-26,36.4743
FUND01,2023-04-27,36.4931
FUND01,2023-04-28,36.5598
FUND01,2023-05-01,36.6106
FUND01,2023-05-02,36.8188
FUND01,2023-05-03,36.9951
FUND01,2023-05-04,37.0648
FUND01,2023-05-05,36.9115
FUND01,2023-05-08,37.09
FUND01,2023-05-09,37.1786
FUND01,2023-05-10,37.4148
FUND01,2023-05-11,37.432
FUND01,2023-05-12,37.7973
FUND01,2023-05-15,37.7564
FUND01,2023-05-16,38.0611
FUND01,2023-05-17,38.1045
FUND01,2023-05-18,38.0352
FUND01,2023-05-19,37.8569
FUND01,2023-05-22,37.8529
FUND01,2023-05-23,38.1282
FUND01,2023-05-24,38.2971
FUND01,2023-05-25,38.4438
FUND01,2023-05-26,38.0388
FUND01,2023-05-29,38.1884
FUND01,2023-05-30,38.3109
FUND01,2023-05-31,38.2352
FUND01,2023-06-01,38.1458
FUND01,2023-06-02,38.1683
FUND01,2023-06-05,38.4999
FUND01,2023-06-06,38.3326
FUND01,2023-06-07,38.2788
FUND01,2023-06-08,38.5462
FUND01,2023-06-09,38.4888
FUND01,2023-06-12,38.4462
FUND01,2023-06-13,38.487
FUND01,2023-06-14,38.2862
FUND01,2023-06-15,38.3487
FUND01,2023-06-16,38.1543
FUND01,2023-06-19,38.3356
FUND01,2023-06-20,38.3592
FUND01,2023-06-21,38.7929
FUND01,2023-06-22,38.8673
FUND01,2023-06-23,39.1395
FUND01,2023-06-26,38.924
FUND01,2023-06-27,38.9251
FUND01,2023-06-28,39.0075
FUND01,2023-06-29,39.3502
FUND01,2023-06-30,39.0638
FUND01,2023-07-03,39.2687
FUND01,2023-07-04,39.4012
FUND01,2023-07-05,39.7081
FUND01,2023-07-06,39.8646
FUND01,2023-07-07,39.8983
FUND01,2023-07-10,39.8248
FUND01,2023-07-11,39.6157
FUND01,2023-07-12,39.6758
FUND01,2023-07-13,39.6641
FUND01,2023-07-14,40.0636
FUND01,2023-07-17,39.9729
FUND01,2023-07-18,40.057
FUND01,2023-07-19,39.7865
FUND01,2023-07-20,39.7367
FUND01,2023-07-21,39.8092
FUND01,2023-07-24,39.9869
FUND01,2023-07-25,40.2824
FUND01,2023-07-26,40.2983
FUND01,2023-07-27,40.1115
FUND01,2023-07-28,40.2217
FUND01,2023-07-31,40.3434
FUND01,2023-08-01,40.4607
FUND01,2023-08-02,40.3522
FUND01,2023-08-03,40.5909
FUND01,2023-08-04,40.632
FUND01,2023-08-07,40.7897
FUND01,2023-08-08,41.0579
FUND01,2023-08-09,41.1999
FUND01,2023-08-10,41.28
FUND01,2023-08-11,41.7214
FUND01,2023-08-14,41.7942
FUND01,2023-08-15,41.7613
FUND01,2023-08-16,41.8084
FUND01,2023-08-17,42.1241
FUND01,2023-08-18,42.1729
FUND01,2023-08-21,42.301
FUND01,2023-08-22,42.5635
FUND01,2023-08-23,42.4868
FUND01,2023-08-24,42.1685
FUND01,2023-08-25,42.2531
FUND01,2023-08-28,42.324
FUND01,2023-08-29,42.2288
FUND01,2023-08-30,42.4267
FUND01,2023-08-31,42.573
FUND01,2023-09-01,42.4001
FUND01,2023-09-04,42.5286
FUND01,2023-09-05,42.5151
FUND01,2023-09-06,42.2451
FUND01,2023-09-07,42.3602
FUND01,2023-09-08,42.3767
FUND01,2023-09-11,42.2542
FUND01,2023-09-12,42.3832
FUND01,2023-09-13,42.5056
FUND01,2023-09-14,42.4162
FUND01,2023-09-15,42.5213
FUND01,2023-09-18,42.7492
FUND01,2023-09-19,42.6321
FUND01,2023-09-20,42.7339
FUND01,2023-09-21,42.7601
FUND01,2023-09-22,43.2401
FUND01,2023-09-25,42.8886
FUND01,2023-09-26,43.0542
FUND01,2023-09-27,43.0183
FUND01,2023-09-28,43.024
FUND01,2023-09-29,43.4334
FUND01,2023-10-02,43.4577
FUND01,2023-10-03,43.9404
FUND01,2023-10-04,43.8758
FUND01,2023-10-05,43.9743
FUND01,2023-10-06,43.8995
FUND01,2023-10-09,43.7838
FUND01,2023-10-10,43.823
FUND01,2023-10-11,43.7913
FUND01,2023-10-12,43.8592
FUND01,2023-10-13,43.4528
FUND01,2023-10-16,43.8869
FUND01,2023-10-17,43.8789
FUND01,2023-10-18,44.2638
FUND01,2023-10-19,44.0815
FUND01,2023-10-20,44.1684
FUND01,2023-10-23,44.8503
FUND01,2023-10-24,44.6944
FUND01,2023-10-25,44.408
FUND01,2023-10-26,44.321
FUND01,2023-10-27,44.4458
FUND01,2023-10-30,44.617
FUND01,2023-10-31,44.9137
FUND01,2023-11-01,44.8867
FUND01,2023-11-02,44.5765
FUND01,2023-11-03,44.5125
FUND01,2023-11-06,44.798
FUND01,2023-11-07,44.9228
FUND01,2023-11-08,44.5377
FUND01,2023-11-09,44.5572
FUND01,2023-11-10,44.876
FUND01,2023-11-13,45.3504
FUND01,2023-11-14,45.497
FUND01,2023-11-15,45.5904
FUND01,2023-11-16,45.3528
FUND01,2023-11-17,45.2008
FUND01,2023-11-20,45.2379
FUND01,2023-11-21,45.3719
FUND01,2023-11-22,45.5226
FUND01,2023-11-23,45.4479
FUND01,2023-11-24,45.2298
FUND01,2023-11-27,45.0921
FUND01,2023-11-28,44.8747
FUND01,2023-11-29,45.0371
FUND01,2023-11-30,44.576
FUND01,2023-12-01,44.5332
FUND01,2023-12-04,44.6539
FUND01,2023-12-05,44.9994
FUND01,2023-12-06,45.0415
FUND01,2023-12-07,45.28
FUND01,2023-12-08,45.2225
FUND01,2023-12-11,45.0919
FUND01,2023-12-12,44.9765
FUND01,2023-12-13,45.3256
FUND01,2023-12-14,45.5641
FUND01,2023-12-15,45.6956
FUND01,2023-12-18,46.4365
FUND01,2023-12-19,46.4574
FUND01,2023-12-20,46.6204
FUND01,2023-12-21,46.7157
FUND01,2023-12-22,46.6952
FUND01,2023-12-25,47.2303
FUND01,2023-12-26,47.5923
FUND01,2023-12-27,47.3087
FUND01,2023-12-28,47.2485
FUND01,2023-12-29,47.3718
FUND01,2024-01-01,47.5742
FUND01,2024-01-02,47.3021
FUND01,2024-01-03,46.8304
FUND01,2024-01-04,46.4401
FUND01,2024-01-05,46.4526
FUND01,2024-01-08,46.458
FUND01,2024-01-09,46.5612
FUND01,2024-01-10,46.4212
FUND01,2024-01-11,46.1827
FUND01,2024-01-12,45.7726
FUND01,2024-01-15,45.8707
FUND01,2024-01-16,45.9779
FUND01,2024-01-17,46.2196
FUND01,2024-01-18,46.4187
FUND01,2024-01-19,46.4052
FUND01,2024-01-22,46.7266
FUND01,2024-01-23,46.7248
FUND01,2024-01-24,46.6082
FUND01,2024-01-25,46.5225
FUND01,2024-01-26,46.423
FUND01,2024-01-29,45.9796
FUND01,2024-01-30,46.041
FUND01,2024-01-31,46.1226
FUND01,2024-02-01,46.072
FUND01,2024-02-02,45.9456
FUND01,2024-02-05,46.0533
FUND01,2024-02-06,46.4517
FUND01,2024-02-07,46.4879
FUND01,2024-02-08,46.4053
