amfi_code,date,rolling_sharpe_90d
FUND01,2023-05-08T00:00:00,2.7751
FUND01,2023-05-09T00:00:00,3.197
FUND01,2023-05-10T00:00:00,3.345
FUND01,2023-05-11T00:00:00,3.3945
FUND01,2023-05-12T00:00:00,3.7352
FUND01,2023-05-15T00:00:00,3.6381
FUND01,2023-05-16T00:00:00,3.8439
FUND01,2023-05-17T00:00:00,3.6716
FUND01,2023-05-18T00:00:00,3.4454
FUND01,2023-05-19T00:00:00,3.177
FUND01,2023-05-22T00:00:00,3.3019
FUND01,2023-05-23T00:00:00,3.753
FUND01,2023-05-24T00:00:00,3.8492
FUND01,2023-05-25T00:00:00,3.7587
FUND01,2023-05-26T00:00:00,3.1722
FUND01,2023-05-29T00:00:00,3.3149
FUND01,2023-05-30T00:00:00,3.3189
FUND01,2023-05-31T00:00:00,3.5272
FUND01,2023-06-01T00:00:00,3.4612
FUND01,2023-06-02T00:00:00,3.3731
FUND01,2023-06-05T00:00:00,3.4864
FUND01,2023-06-06T00:00:00,3.3133
FUND01,2023-06-07T00:00:00,3.1639
FUND01,2023-06-08T00:00:00,3.3341
FUND01,2023-06-09T00:00:00,3.1171
FUND01,2023-06-12T00:00:00,3.2757
FUND01,2023-06-13T00:00:00,3.1949
FUND01,2023-06-14T00:00:00,3.26
FUND01,2023-06-15T00:00:00,3.958
FUND01,2023-06-16T00:00:00,3.812
FUND01,2023-06-19T00:00:00,4.166
FUND01,2023-06-20T00:00:00,4.0148
FUND01,2023-06-21T00:00:00,4.204
FUND01,2023-06-22T00:00:00,4.534
FUND01,2023-06-23T00:00:00,4.6022
FUND01,2023-06-26T00:00:00,4.5239
FUND01,2023-06-27T00:00:00,4.5166
FUND01,2023-06-28T00:00:00,4.6361
FUND01,2023-06-29T00:00:00,4.8637
FUND01,2023-06-30T00:00:00,4.3296
FUND01,2023-07-03T00:00:00,4.3808
FUND01,2023-07-04T00:00:00,4.4202
FUND01,2023-07-05T00:00:00,4.535
FUND01,2023-07-06T00:00:00,4.5713
FUND01,2023-07-07T00:00:00,4.7081
FUND01,2023-07-10T00:00:00,4.7515
FUND01,2023-07-11T00:00:00,4.5709
FUND01,2023-07-12T00:00:00,4.52
FUND01,2023-07-13T00:00:00,4.5316
FUND01,2023-07-14T00:00:00,4.5084
FUND01,2023-07-17T00:00:00,4.555
FUND01,2023-07-18T00:00:00,4.8526
FUND01,2023-07-19T00:00:00,4.3648
FUND01,2023-07-20T00:00:00,4.0741
FUND01,2023-07-21T00:00:00,4.0332
FUND01,2023-07-24T00:00:00,4.0315
FUND01,2023-07-25T00:00:00,4.034
FUND01,2023-07-26T00:00:00,4.0435
FUND01,2023-07-27T00:00:00,4.1186
FUND01,2023-07-28T00:00:00,4.3052
FUND01,2023-07-31T00:00:00,4.2397
FUND01,2023-08-01T00:00:00,4.6562
FUND01,2023-08-02T00:00:00,4.5022
FUND01,2023-08-03T00:00:00,4.6363
FUND01,2023-08-04T00:00:00,4.7158
FUND01,2023-08-07T00:00:00,4.7122
FUND01,2023-08-08T00:00:00,4.808
FUND01,2023-08-09T00:00:00,4.6223
FUND01,2023-08-10T00:00:00,4.5661
FUND01,2023-08-11T00:00:00,4.976
FUND01,2023-08-14T00:00:00,5.1396
FUND01,2023-08-15T00:00:00,5.2631
FUND01,2023-08-16T00:00:00,5.1271
FUND01,2023-08-17T00:00:00,5.4685
FUND01,2023-08-18T00:00:00,5.5053
FUND01,2023-08-21T00:00:00,5.4698
FUND01,2023-08-22T00:00:00,5.8188
FUND01,2023-08-23T00:00:00,5.769
FUND01,2023-08-24T00:00:00,5.8062
FUND01,2023-08-25T00:00:00,6.1244
FUND01,2023-08-28T00:00:00,6.2981
FUND01,2023-08-29T00:00:00,6.081
FUND01,2023-08-30T00:00:00,6.0406
FUND01,2023-08-31T00:00:00,6.1542
FUND01,2023-09-01T00:00:00,5.8657
FUND01,2023-09-04T00:00:00,5.9273
FUND01,2023-09-05T00:00:00,5.7113
FUND01,2023-09-06T00:00:00,5.197
FUND01,2023-09-07T00:00:00,5.2277
FUND01,2023-09-08T00:00:00,5.4493
FUND01,2023-09-11T00:00:00,5.135
FUND01,2023-09-12T00:00:00,5.1585
FUND01,2023-09-13T00:00:00,5.0539
FUND01,2023-09-14T00:00:00,4.9374
FUND01,2023-09-15T00:00:00,4.7441
FUND01,2023-09-18T00:00:00,4.987
FUND01,2023-09-19T00:00:00,4.5945
FUND01,2023-09-20T00:00:00,4.643
FUND01,2023-09-21T00:00:00,4.7534
FUND01,2023-09-22T00:00:00,5.3028
FUND01,2023-09-25T00:00:00,4.8638
FUND01,2023-09-26T00:00:00,4.7688
FUND01,2023-09-27T00:00:00,4.5701
FUND01,2023-09-28T00:00:00,4.4322
FUND01,2023-09-29T00:00:00,5.3267
FUND01,2023-10-02T00:00:00,5.2001
FUND01,2023-10-03T00:00:00,5.3786
FUND01,2023-10-04T00:00:00,5.4032
FUND01,2023-10-05T00:00:00,5.6046
FUND01,2023-10-06T00:00:00,5.5001
FUND01,2023-10-09T00:00:00,5.1068
FUND01,2023-10-10T00:00:00,5.364
FUND01,2023-10-11T00:00:00,5.3964
FUND01,2023-10-12T00:00:00,5.2256
FUND01,2023-10-13T00:00:00,4.7688
FUND01,2023-10-16T00:00:00,5.1083
FUND01,2023-10-17T00:00:00,5.0572
FUND01,2023-10-18T00:00:00,5.583
FUND01,2023-10-19T00:00:00,5.3178
FUND01,2023-10-20T00:00:00,5.6498
FUND01,2023-10-23T00:00:00,5.79
FUND01,2023-10-24T00:00:00,5.6051
FUND01,2023-10-25T00:00:00,4.996
FUND01,2023-10-26T00:00:00,4.8402
FUND01,2023-10-27T00:00:00,4.7202
FUND01,2023-10-30T00:00:00,5.1189
FUND01,2023-10-31T00:00:00,5.3341
FUND01,2023-11-01T00:00:00,5.2277
FUND01,2023-11-02T00:00:00,4.6283
FUND01,2023-11-03T00:00:00,4.9253
FUND01,2023-11-06T00:00:00,4.9563
FUND01,2023-11-07T00:00:00,4.9367
FUND01,2023-11-08T00:00:00,4.2641
FUND01,2023-11-09T00:00:00,4.1418
FUND01,2023-11-10T00:00:00,4.338
FUND01,2023-11-13T00:00:00,4.7085
FUND01,2023-11-14T00:00:00,5.0637
FUND01,2023-11-15T00:00:00,5.0829
FUND01,2023-11-16T00:00:00,4.8561
FUND01,2023-11-17T00:00:00,4.4278
FUND01,2023-11-20T00:00:00,4.554
FUND01,2023-11-21T00:00:00,4.5832
FUND01,2023-11-22T00:00:00,5.0281
FUND01,2023-11-23T00:00:00,5.0108
FUND01,2023-11-24T00:00:00,4.7202
FUND01,2023-11-27T00:00:00,4.4341
FUND01,2023-11-28T00:00:00,3.9877
FUND01,2023-11-29T00:00:00,4.1006
FUND01,2023-11-30T00:00:00,3.8081
FUND01,2023-12-01T00:00:00,3.6741
FUND01,2023-12-04T00:00:00,3.6637
FUND01,2023-12-05T00:00:00,3.8012
FUND01,2023-12-06T00:00:00,3.9425
FUND01,2023-12-07T00:00:00,3.9254
FUND01,2023-12-08T00:00:00,3.8389
FUND01,2023-12-11T00:00:00,3.5914
FUND01,2023-12-12T00:00:00,3.2806
FUND01,2023-12-13T00:00:00,3.4032
FUND01,2023-12-14T00:00:00,3.5071
FUND01,2023-12-15T00:00:00,3.2993
FUND01,2023-12-18T00:00:00,3.6307
FUND01,2023-12-19T00:00:00,3.6754
FUND01,2023-12-20T00:00:00,3.7524
