amfi_code,scheme_name,date,expense_ratio,one_year_return,three_year_return,five_year_return
FUND01,Sample FUND01,2025-11-24,0.63,6.47,60.48,
FUND02,Sample FUND02,2025-11-24,0.6,15.32,11.15,
FUND03,Sample FUND03,2025-11-24,1.1,23.75,48.61,
FUND04,Sample FUND04,2025-11-24,0.92,37.37,51.34,
FUND05,Sample FUND05,2025-11-24,0.29,-15.03,12.43,
FUND06,Sample FUND06,2025-11-24,1.16,3.72,33.2,
FUND07,Sample FUND07,2025-11-24,1.34,7.78,30.91,
FUND08,Sample FUND08,2025-11-24,0.78,6.18,24.11,
FUND09,Sample FUND09,2025-11-24,1.69,-9.97,7.28,
FUND10,Sample FUND10,2025-11-24,0.86,13.16,11.5,
FUND11,Sample FUND11,2025-11-24,0.51,-4.37,-3.78,
FUND12,Sample FUND12,2025-11-24,0.36,0.32,18.79,
FUND13,Sample FUND13,2025-11-24,0.94,8.01,47.89,
FUND14,Sample FUND14,2025-11-24,1.37,12.07,83.06,
FUND15,Sample FUND15,2025-11-24,1.62,25.58,28.09,
FUND16,Sample FUND16,2025-11-24,1.51,5.25,54.23,
FUND17,Sample FUND17,2025-11-24,1.22,32.72,103.99,
FUND18,Sample FUND18,2025-11-24,1.04,13.49,4.11,
FUND19,Sample FUND19,2025-11-24,1.23,14.27,93.7,
FUND20,Sample FUND20,2025-11-24,0.69,14.59,46.97,
FUND21,Sample FUND21,2025-11-24,0.65,28.3,63.92,
FUND22,Sample FUND22,2025-11-24,0.68,21.47,57.24,
FUND23,Sample FUND23,2025-11-24,0.86,14.23,70.83,
FUND24,Sample FUND24,2025-11-24,0.63,21.94,58.96,
FUND25,Sample FUND25,2025-11-24,0.51,5.41,22.55,
FUND26,Sample FUND26,2025-11-24,1.7,-12.59,10.24,
FUND27,Sample FUND27,2025-11-24,0.64,13.91,21.04,
FUND28,Sample FUND28,2025-11-24,0.91,15.95,74.78,
FUND29,Sample FUND29,2025-11-24,1.28,-2.18,58.28,
FUND30,Sample FUND30,2025-11-24,1.34,25.77,112.61,
FUND31,Sample FUND31,2025-11-24,0.85,22.69,81.43,
FUND32,Sample FUND32,2025-11-24,1.31,9.4,86.46,
FUND33,Sample FUND33,2025-11-24,1.65,6.91,7.23,
FUND34,Sample FUND34,2025-11-24,0.26,-1.37,38.57,
FUND35,Sample FUND35,2025-11-24,1.56,25.58,27.22,
FUND36,Sample FUND36,2025-11-24,1.68,-7.85,26.03,
FUND37,Sample FUND37,2025-11-24,0.39,20.37,50.19,
FUND38,Sample FUND38,2025-11-24,1.45,5.89,17.74,
