month,sip_inflow_cr
2022-01-01,18770
2022-02-01,18436
2022-03-01,18914
2022-04-01,19502
2022-05-01,20285
2022-06-01,19915
2022-07-01,19937
2022-08-01,20484
2022-09-01,21090
2022-10-01,21258
2022-11-01,22196
2022-12-01,22124
2023-01-01,21794
2023-02-01,22460
2023-03-01,23063
2023-04-01,23334
2023-05-01,23089
2023-06-01,23200
2023-07-01,24326
2023-08-01,24665
2023-09-01,24356
2023-10-01,24816
2023-11-01,24700
2023-12-01,25535
2024-01-01,25862
2024-02-01,26243
2024-03-01,26705
2024-04-01,26885
2024-05-01,27867
2024-06-01,28004
2024-07-01,28539
2024-08-01,28496
2024-09-01,29500
2024-10-01,29720
2024-11-01,30675
2024-12-01,31017
2025-01-01,30889
2025-02-01,31424
2025-03-01,32596
2025-04-01,32686
2025-05-01,33186
2025-06-01,34042
2025-07-01,34410
2025-08-01,34100
2025-09-01,34893
2025-10-01,34501
2025-11-01,34583
2025-12-01,31002
