amfi_code,historical_var_95_pct,cvar_95_pct,obs_returns
FUND01,-0.7142,-0.8828,755
FUND02,-1.4256,-1.8686,755
FUND03,-0.8578,-1.0586,755
FUND04,-1.1409,-1.4697,755
FUND05,-1.4891,-1.835,755
FUND06,-0.6777,-0.8673,755
FUND07,-1.2231,-1.508,755
FUND08,-1.5794,-1.9424,755
FUND09,-1.1905,-1.4971,755
FUND10,-0.7249,-0.8979,755
FUND11,-1.73,-2.1423,755
FUND12,-0.8762,-1.0759,755
FUND13,-0.8074,-0.9883,755
FUND14,-1.1776,-1.3928,755
FUND15,-1.248,-1.5955,755
FUND16,-0.9907,-1.2326,755
FUND17,-0.7515,-0.9232,755
FUND18,-1.7139,-2.1087,755
FUND19,-1.7532,-2.2384,755
FUND20,-0.9679,-1.2067,755
FUND21,-1.5608,-1.9559,755
FUND22,-1.8455,-2.295,755
FUND23,-1.7809,-2.1218,755
FUND24,-1.0235,-1.252,755
FUND25,-1.4539,-1.7752,755
FUND26,-1.4288,-1.8401,755
FUND27,-1.0672,-1.2527,755
FUND28,-1.7117,-2.2961,755
FUND29,-0.8883,-1.1031,755
FUND30,-0.6827,-0.8753,755
FUND31,-1.2041,-1.4591,755
FUND32,-1.0819,-1.3231,755
FUND33,-1.2121,-1.5166,755
FUND34,-1.6674,-2.0261,755
FUND35,-1.7386,-2.1213,755
FUND36,-1.568,-1.8939,755
FUND37,-0.7484,-0.9446,755
FUND38,-1.2012,-1.4886,755
NIFTY50,-1.0799,-1.3407,755
NIFTY100,-1.0577,-1.2992,755
